player,average_shot_length,net_points_rate,net_points_won_rate,winners_rate,unforced_errors_rate,slices_rate,dropshots_rate,crosscourt_rate,middlecourt_rate,down_the_line_rate,average_response_depth,opening_2nd_ground_fh_bh_ratio,opening_3rd_ground_fh_bh_ratio,opening_1st_ground_fh_bh_ratio,cluster
Cristian_Garin,1.7082066869300911,0.1076923076923077,0.5357142857142857,0.098984771573604,0.1395939086294416,0.1094306049822064,0.0088967971530249,0.2375444839857651,0.4048042704626334,0.3540925266903915,2.07719298245614,0.6867469879518072,1.3684210526315788,0.6914893617021276,0
Daniel_Altmaier,1.3966480446927374,0.1166666666666666,0.7142857142857143,0.0530973451327433,0.1858407079646017,0.396,0.0,0.208,0.46,0.308,2.2439024390243905,3.25,1.25,0.9166666666666669,2
Daniel_Elahi_Galan,1.2571428571428571,0.0946745562130177,0.75,0.0557275541795665,0.2136222910216718,0.0742424242424242,0.0106060606060606,0.253030303030303,0.406060606060606,0.3212121212121212,2.071729957805907,1.2162162162162162,1.5172413793103452,0.6538461538461537,2
Daniil_Medvedev,1.656140350877193,0.1197916666666666,0.5434782608695652,0.0454765360425737,0.1475568456700532,0.1409861325115562,0.0134822804314329,0.2374807395993836,0.3884822804314329,0.3636363636363636,2.039826212889211,0.7937500000000001,0.8299319727891157,0.8250728862973761,0
David_Goffin,1.3018549747048904,0.0865384615384615,0.5555555555555556,0.0250696378830083,0.1337047353760445,0.1411917098445596,0.0038860103626943,0.266839378238342,0.3937823834196891,0.3303108808290155,2.1320754716981134,1.0526315789473684,0.883720930232558,0.9411764705882352,2
Denis_Shapovalov,1.4813432835820894,0.0736842105263157,0.8571428571428571,0.0971428571428571,0.2,0.216624685138539,0.0025188916876574,0.2141057934508816,0.4181360201511335,0.3476070528967254,1.9285714285714288,1.1363636363636362,1.5,0.6923076923076924,0
Diego_Schwartzman,1.7313915857605178,0.0866141732283464,0.7272727272727273,0.0552486187845303,0.2265193370165746,0.1289719626168224,0.0149532710280373,0.2392523364485981,0.3794392523364486,0.3682242990654205,2.0681818181818183,0.7142857142857143,1.1935483870967745,0.7674418604651162,0
Dominic_Thiem,1.131578947368421,0.152,0.5263157894736842,0.0880281690140845,0.1901408450704225,0.2093023255813953,0.0077519379844961,0.1937984496124031,0.4166666666666667,0.374031007751938,2.0558375634517767,1.0952380952380951,1.7692307692307696,0.6451612903225806,3
Dominik_Koepfer,1.6297709923664123,0.0808080808080808,1.0,0.0828025477707006,0.2356687898089172,0.2131147540983606,0.0023419203747072,0.2740046838407494,0.414519906323185,0.3044496487119438,2.0657894736842106,0.7307692307692308,1.1,0.2666666666666666,2
Emil_Ruusuvuori,1.646268656716418,0.0788461538461538,0.5853658536585366,0.0777142857142857,0.2217142857142857,0.1341795104261106,0.0072529465095194,0.242520398912058,0.3626473254759746,0.3871260199456029,2.105117565698478,1.1085271317829457,1.3693693693693694,1.054421768707483,0
Feliciano_Lopez,1.0705128205128205,0.099236641221374,0.4615384615384615,0.025830258302583,0.1881918819188192,0.3932135728542914,0.0019960079840319,0.2714570858283433,0.4171656686626746,0.2894211576846307,2.0402298850574714,1.272727272727273,3.0,0.8333333333333334,2
Felix_Auger_Aliassime,1.2222222222222223,0.0763723150357995,0.65625,0.0369487485101311,0.1370679380214541,0.2033492822966507,0.0041866028708133,0.2398325358851674,0.3050239234449761,0.3815789473684211,1.8391866913123844,1.2205882352941175,1.7142857142857142,0.7731958762886598,3
Filip_Krajinovic,0.8558558558558559,0.1208791208791208,0.7272727272727273,0.1214285714285714,0.2071428571428571,0.2771929824561403,0.0140350877192982,0.1403508771929824,0.6842105263157895,0.175438596491228,2.012838918173402,1.4444444444444442,1.25,0.4210526315789473,0
Frances_Tiafoe,1.4312714776632305,0.1155778894472361,0.4782608695652174,0.0142450142450142,0.1339031339031339,0.1464585834333733,0.0204081632653061,0.2533013205282113,0.3601440576230492,0.3721488595438175,2.1263537906137184,0.8627450980392155,1.1395348837209305,0.7014925373134326,0
Francisco_Comesana,1.4526315789473685,0.0746268656716417,0.8,0.0166666666666666,0.1583333333333333,0.3804347826086957,0.0072463768115942,0.2355072463768115,0.4565217391304347,0.3007246376811594,1.9479166666666667,2.600000000000001,1.7500000000000009,0.0869565217391303,2
Gael_Monfils,1.5685393258426967,0.0662251655629139,0.5,0.0780141843971631,0.1950354609929078,0.1389684813753581,0.0028653295128939,0.2865329512893982,0.3868194842406877,0.3151862464183381,2.1367924528301887,0.8750000000000001,0.8717948717948719,0.7115384615384616,0
