player,average_shot_length,net_points_rate,net_points_won_rate,winners_rate,unforced_errors_rate,slices_rate,dropshots_rate,crosscourt_rate,middlecourt_rate,down_the_line_rate,ace_rate,opening_1st_body,opening_1st_down_the_t,opening_1st_out_wide,opening_2nd_ground_fh_bh_ratio,opening_3rd_ground_fh_bh_ratio,cluster
Andy_Murray,2.07039055404178,0.3487179487179487,0.6715686274509803,0.4080402010050251,0.2653266331658291,0.1641917691981332,0.0420025456088247,0.2859567246499788,0.3088672040729741,0.3979635129401782,0.0858310626702997,0.3196581196581196,0.3282051282051282,0.3384615384615385,1.741379310344828,1.0977011494252875,0
Antoine_Bellier,1.526143790849673,1.736842105263158,0.6515151515151515,0.4770642201834862,0.110091743119266,0.0496894409937888,0.0062111801242236,0.4596273291925465,0.1366459627329192,0.391304347826087,0.1830065359477124,0.3421052631578947,0.5263157894736842,0.1052631578947368,4.000000000000001,18.000000000000004,3
Arthur_Fery,1.8992248062015504,0.7962962962962963,0.5813953488372093,0.0840336134453781,0.1512605042016806,0.1163793103448275,0.0474137931034482,0.2284482758620689,0.3448275862068966,0.4137931034482758,0.0736434108527131,0.3703703703703703,0.2777777777777778,0.3333333333333333,0.6153846153846154,0.8421052631578948,1
Arthur_Fils,2.1288723667905822,0.234866828087167,0.7010309278350515,0.2823529411764706,0.2915032679738562,0.1053787047200878,0.022502744237102,0.3413830954994512,0.2574094401756311,0.3913282107574094,0.0526641883519206,0.0920096852300242,0.4334140435835351,0.4721549636803874,1.2710843373493976,1.25,2
Arthur_Rinderknech,1.7747252747252746,1.1666666666666667,0.5974025974025974,0.3832335329341317,0.2095808383233532,0.0815602836879432,0.0390070921985815,0.3262411347517731,0.2163120567375886,0.4432624113475177,0.0851648351648351,0.2424242424242424,0.3333333333333333,0.3939393939393939,2.6153846153846163,2.88888888888889,3
Ben_Shelton,2.0625,0.3928571428571428,0.5909090909090909,0.1570247933884297,0.3223140495867768,0.0745098039215686,0.0235294117647058,0.3372549019607843,0.2705882352941176,0.3764705882352941,0.0791666666666666,0.1607142857142857,0.5178571428571429,0.2857142857142857,3.083333333333335,2.2142857142857144,2
Botic_Van_De_Zandschulp,1.7967244701348748,0.3417085427135678,0.6470588235294118,0.213953488372093,0.1604651162790697,0.1269649334945586,0.0314389359129383,0.3422007255139057,0.2817412333736396,0.366384522370012,0.0905587668593449,0.3567839195979899,0.3366834170854271,0.2613065326633166,2.0892857142857144,2.45945945945946,1
Brandon_Nakashima,2.029850746268657,0.3146067415730337,0.6607142857142857,0.4358552631578947,0.2401315789473684,0.1076604554865424,0.0193236714975845,0.302967563837129,0.2946859903381642,0.3940648723257419,0.1080312722103766,0.1882022471910112,0.3623595505617977,0.4101123595505618,1.686440677966102,1.4818181818181817,0
Cameron_Norrie,2.0195360195360195,0.308411214953271,0.7575757575757576,0.2615384615384615,0.2,0.0874251497005988,0.0179640718562874,0.3473053892215569,0.267065868263473,0.3832335329341317,0.0683760683760683,0.2289719626168224,0.3878504672897196,0.3551401869158878,1.7000000000000004,1.524590163934426,2
Carlos_Alcaraz,2.0170212765957447,0.375,0.6591760299625468,0.2554744525547445,0.2051094890510948,0.1084379358437935,0.0463737796373779,0.3071827057182705,0.2262900976290097,0.457810320781032,0.051418439716312,0.2752808988764045,0.2823033707865168,0.3932584269662921,1.7247706422018343,1.4378109452736323,1
